date,league,season,venue,ht_goals_home,ht_goals_away,ht_sot_home,ht_sot_away,ht_reds_home,ht_reds_away,elo_home,elo_away,ft_goals_home,ft_goals_away,ft_sot_home,ft_sot_away
2020-08-01,Premier League,2021-22,Home,1,1,2.0,4,0,0,1242,1286,1,1,5,6
2020-08-01,Ligue 1,2023-24,Away,0,0,3.0,3,0,0,1431,1292,0,2,5,3
2020-08-01,Bundesliga,2022-23,Home,1,0,0.0,1,0,0,1232,1632,1,0,0,5
2020-08-01,Ligue 1,2021-22,Away,5,0,4.0,2,0,0,1603,1650,5,0,6,4
2020-08-01,Bundesliga,2023-24,Away,1,1,2.0,1,0,0,1687,1426,3,2,8,3
2020-08-02,Bundesliga,2023-24,Away,2,1,4.0,0,0,0,1369,1639,2,1,6,0
2020-08-02,Bundesliga,2023-24,Home,2,0,1.0,1,0,0,1365,1301,4,0,5,3
2020-08-02,Serie A,2021-22,Neutral,1,2,3.0,0,0,0,1758,1810,2,2,4,2
2020-08-02,Ligue 1,2020-21,Home,1,1,5.0,0,0,0,1476,1871,1,3,7,4
2020-08-02,Premier League,2022-23,Away,0,0,3.0,2,0,0,1379,1598,2,1,4,5
2020-08-03,Premier League,2023-24,Away,2,1,3.0,3,0,0,1557,1802,3,1,6,7
2020-08-03,La Liga,2022-23,Away,0,0,5.0,1,0,0,1505,1360,0,0,7,5
2020-08-03,Serie A,2022-23,Home,1,1,1.0,2,0,0,1378,1422,5,2,2,2
2020-08-03,Ligue 1,2021-22,Away,1,0,4.0,3,0,0,1646,1532,3,0,4,4
2020-08-04,Premier League,2021-22,Home,0,1,5.0,3,0,0,1441,1662,0,1,6,6
2020-08-04,Premier League,2022-23,Home,1,0,3.0,3,0,0,1826,1321,1,0,4,5
2020-08-05,Premier League,2020-21,Home,0,1,3.0,1,0,0,1351,1212,0,1,4,2
2020-08-05,Serie A,2020-21,Away,1,0,4.0,1,0,0,1459,1616,1,2,6,1
2020-08-05,Bundesliga,2023-24,Home,2,2,3.0,0,0,0,1601,1363,4,3,10,1
2020-08-06,La Liga,2022-23,Away,0,1,4.0,3,0,0,1402,1368,1,2,6,6
2020-08-06,Ligue 1,2020-21,Home,1,0,3.0,3,0,0,1596,1696,3,2,5,5
2020-08-07,La Liga,2021-22,Home,1,1,2.0,1,0,0,1241,1323,1,1,7,5
2020-08-07,Serie A,2021-22,Home,0,3,4.0,5,0,0,1748,1403,1,4,7,6
2020-08-07,,2023-24,Home,0,2,4.0,2,0,0,1452,1429,1,2,8,7
2020-08-07,Premier League,2022-23,Away,0,0,,2,0,0,1700,1244,1,0,6,3
2020-08-08,Ligue 1,2023-24,Away,2,2,1.0,4,0,0,1407,1320,2,3,2,5
2020-08-08,Bundesliga,2020-21,Away,0,1,,1,0,0,1363,1164,2,3,4,3
2020-08-08,Ligue 1,2022-23,Home,1,1,2.0,2,0,0,1279,1865,2,2,3,3
2020-08-09,Bundesliga,2021-22,Away,3,2,2.0,0,0,0,1590,1966,3,3,2,2
2020-08-09,Premier League,2023-24,Home,0,1,3.0,4,0,0,1666,1709,1,1,3,9
2020-08-10,Serie A,2021-22,Away,0,0,1.0,0,0,0,1573,1494,1,2,2,2
2020-08-10,Bundesliga,2021-22,Away,0,0,3.0,0,0,1,1254,1429,0,0,3,2
2020-08-10,Ligue 1,2021-22,Away,2,1,2.0,2,0,0,1287,1585,2,3,6,3
2020-08-10,Serie A,2020-21,Home,1,1,4.0,1,1,0,1460,1733,2,1,4,3
2020-08-10,Premier League,2023-24,Home,1,0,0.0,3,0,0,1410,1471,2,0,3,5
2020-08-11,Ligue 1,2021-22,Home,1,0,0.0,1,0,0,1263,1391,3,2,1,2
2020-08-11,La Liga,2021-22,Away,3,1,1.0,5,0,0,1327,1767,3,2,6,6
2020-08-11,Ligue 1,2022-23,Neutral,1,0,5.0,2,0,0,1408,1277,1,1,5,6
2020-08-11,Premier League,2023-24,Home,1,1,4.0,0,0,0,1630,1339,1,2,5,3
2020-08-11,La Liga,2022-23,Away,0,0,3.0,1,0,0,1643,1509,0,0,4,4
2020-08-12,Premier League,2021-22,Home,0,0,1.0,1,0,0,1730,1067,1,0,2,7
2020-08-12,Bundesliga,2023-24,Home,0,0,2.0,2,0,0,1483,1106,2,1,3,3
2020-08-12,Ligue 1,2021-22,Away,1,0,3.0,2,0,0,1517,1496,2,0,6,5
2020-08-12,La Liga,2022-23,Home,1,1,2.0,4,0,0,1383,1579,1,2,3,8
2020-08-12,Premier League,2023-24,Home,1,1,3.0,2,0,0,1433,1473,2,2,6,4
2020-08-13,La Liga,2021-22,Home,0,0,3.0,2,0,0,1442,1842,1,2,6,4
2020-08-13,Serie A,2021-22,Away,1,0,2.0,1,0,0,1382,1825,4,1,3,5
2020-08-13,La Liga,2023-24,Home,0,1,1.0,1,0,0,1332,1578,2,2,2,1
2020-08-14,Serie A,2020-21,Away,2,1,4.0,4,0,0,1449,1534,3,1,6,5
2020-08-14,Premier League,2020-21,Home,1,2,3.0,2,0,0,1467,1833,1,2,6,4
2020-08-14,Ligue 1,2023-24,Home,0,0,2.0,2,0,0,1487,1411,1,1,3,4
2020-08-15,Serie A,2023-24,Away,0,0,2.0,4,0,0,1389,1781,3,0,4,6
2020-08-15,Premier League,2022-23,Home,0,1,5.0,1,0,0,1246,1803,0,2,9,4
2020-08-15,Ligue 1,2023-24,Away,2,0,3.0,2,0,0,1684,1573,3,1,4,8
2020-08-16,La Liga,2022-23,Away,0,1,3.0,0,0,0,1580,1330,0,2,5,1
2020-08-17,Serie A,2022-23,Home,0,0,,1,0,0,1875,1539,1,1,4,2
2020-08-17,Premier League,2022-23,Away,0,2,1.0,0,0,0,1851,1428,0,2,5,1
2020-08-17,Bundesliga,2023-24,Home,0,1,2.0,7,0,0,1492,1644,3,1,2,7
2020-08-17,Bundesliga,2022-23,Home,1,0,4.0,2,0,0,1119,1448,2,0,5,3
2020-08-17,Serie A,2022-23,Neutral,0,1,,2,0,0,1597,1631,1,2,4,3
2020-08-17,Serie A,2020-21,Away,1,0,3.0,3,0,0,1561,1837,2,1,6,7
2020-08-18,Bundesliga,2021-22,Home,0,1,0.0,1,0,0,1687,1480,0,1,2,3
2020-08-18,Bundesliga,2022-23,Away,0,0,4.0,1,0,0,2050,1825,2,1,7,1
2020-08-19,Serie A,2023-24,Away,0,1,0.0,2,0,0,1712,1688,0,2,3,2
2020-08-19,La Liga,2022-23,Home,1,0,1.0,0,0,0,1368,947,1,1,1,1
2020-08-19,Serie A,2021-22,Home,0,0,2.0,3,0,0,1656,1713,3,2,4,3
2020-08-19,Ligue 1,2022-23,Home,0,1,,0,0,0,1427,1421,0,1,4,1
