date,league,season,venue,ht_goals_home,ht_goals_away,ht_sot_home,ht_sot_away,ht_reds_home,ht_reds_away,elo_home,elo_away,ft_goals_home,ft_goals_away,ft_sot_home,ft_sot_away
2019-08-09,Premier League,2019-20,Home,4,0,4,2,0,0,1500.0,1500.0,4,1,7,5
2019-08-10,Premier League,2019-20,Home,0,1,2,4,0,0,1500.0,1500.0,0,5,3,9
2019-08-10,Premier League,2019-20,Home,0,0,1,1,0,0,1500.0,1500.0,1,1,3,3
2019-08-10,Premier League,2019-20,Home,0,0,2,2,0,0,1500.0,1500.0,3,0,4,3
2019-08-10,Premier League,2019-20,Home,0,0,1,1,0,1,1500.0,1500.0,0,0,2,3
2019-08-10,Premier League,2019-20,Home,0,1,2,2,0,0,1500.0,1500.0,0,3,3,3
2019-08-10,Premier League,2019-20,Home,0,1,3,2,0,0,1500.0,1500.0,3,1,7,4
2019-08-11,Premier League,2019-20,Home,0,0,0,1,0,0,1500.0,1500.0,0,0,1,2
2019-08-11,Premier League,2019-20,Home,0,0,1,1,0,0,1500.0,1500.0,0,1,2,2
2019-08-11,Premier League,2019-20,Home,1,0,2,3,0,0,1500.0,1500.0,4,0,5,7
2019-08-17,Premier League,2019-20,Home,1,1,5,2,0,0,1516.0,1516.0,2,1,9,5
2019-08-17,Premier League,2019-20,Home,0,2,4,2,0,0,1484.0,1500.0,1,2,7,4
2019-08-17,Premier League,2019-20,Home,0,0,2,1,0,0,1516.0,1484.0,1,1,4,3
2019-08-17,Premier League,2019-20,Home,1,0,1,1,0,0,1500.0,1484.0,1,0,2,2
2019-08-17,Premier League,2019-20,Home,1,0,3,2,0,0,1484.0,1484.0,3,1,8,3
2019-08-17,Premier League,2019-20,Home,0,1,2,4,0,0,1484.0,1516.0,1,2,3,6
2019-08-17,Premier League,2019-20,Home,2,1,4,1,0,0,1516.0,1516.0,2,2,10,2
2019-08-18,Premier League,2019-20,Home,0,0,2,2,0,0,1500.0,1500.0,1,0,3,4
2019-08-18,Premier League,2019-20,Home,1,0,3,1,0,0,1484.0,1500.0,1,1,5,3
2019-08-19,Premier League,2019-20,Home,0,1,1,1,0,0,1500.0,1516.0,1,1,2,2
2019-08-23,Premier League,2019-20,Home,1,0,2,1,0,0,1468.736306793522,1515.263693206478,2,0,3,1
2019-08-24,Premier League,2019-20,Home,2,2,3,5,0,0,1500.0,1484.736306793522,2,3,5,8
2019-08-24,Premier League,2019-20,Home,0,0,2,2,1,0,1514.5304984710244,1469.4695015289756,0,2,3,4
2019-08-24,Premier League,2019-20,Home,0,1,2,2,0,0,1515.263693206478,1484.0,1,2,3,3
2019-08-24,Premier League,2019-20,Home,0,1,2,1,0,0,1516.0,1499.263693206478,1,2,3,2
2019-08-24,Premier League,2019-20,Home,1,1,1,5,0,0,1468.736306793522,1485.4695015289756,1,3,3,10
2019-08-24,Premier League,2019-20,Home,1,0,3,2,0,0,1530.5304984710244,1532.0,3,1,5,3
2019-08-25,Premier League,2019-20,Home,1,2,3,2,0,0,1515.263693206478,1516.0,1,3,7,5
2019-08-25,Premier League,2019-20,Home,0,1,1,1,0,0,1516.0,1468.0,0,1,2,3
2019-08-25,Premier League,2019-20,Home,0,1,1,2,0,0,1500.736306793522,1500.0,1,1,2,4
2019-08-31,Premier League,2019-20,Home,0,1,1,4,1,0,1487.533079566504,1497.8278203282016,1,1,2,8
2019-08-31,Premier League,2019-20,Home,2,0,3,1,0,0,1501.4387739660467,1499.2298601853572,2,2,5,2
2019-08-31,Premier League,2019-20,Home,0,0,3,1,0,1,1501.4358728782763,1486.866254736599,1,0,5,2
2019-08-31,Premier League,2019-20,Home,2,1,3,1,0,0,1516.0338330211207,1499.2976013366472,3,1,5,2
2019-08-31,Premier League,2019-20,Home,2,0,2,1,0,0,1531.9660918698307,1496.466920433496,4,0,6,2
2019-08-31,Premier League,2019-20,Home,1,1,3,2,0,0,1486.1965245402773,1453.5063036245745,1,1,5,3
2019-08-31,Premier League,2019-20,Home,1,0,5,2,0,0,1500.6995046979232,1483.2975328274754,2,0,8,3
2019-08-31,Premier League,2019-20,Home,0,2,1,3,0,0,1500.0339081301693,1546.5981711137829,0,3,2,7
2019-09-01,Premier League,2019-20,Home,2,1,3,3,0,1,1497.133745263401,1500.7023986633528,3,2,6,5
2019-09-01,Premier League,2019-20,Home,1,2,3,5,0,0,1515.9323273572415,1497.8034754597227,2,2,8,9
2019-09-14,Premier League,2019-20,Home,2,1,4,1,0,0,1560.4665550604357,1484.695511077454,3,1,9,1
2019-09-14,Premier League,2019-20,Home,0,0,2,0,0,0,1482.0960524204706,1486.1655241835165,1,1,5,1
2019-09-14,Premier League,2019-20,Home,1,0,3,2,0,0,1497.3538686937231,1531.2636966573637,1,0,5,3
2019-09-14,Premier League,2019-20,Home,0,0,2,3,1,0,1499.3315830536374,1488.0070312009825,0,1,4,7
2019-09-14,Premier League,2019-20,Home,4,0,4,4,0,0,1498.6375830850297,1516.765310187687,4,0,5,6
2019-09-14,Premier League,2019-20,Home,0,3,2,3,0,0,1484.5380618801755,1501.3370510977666,2,5,4,6
2019-09-14,Premier League,2019-20,Home,2,1,2,3,0,0,1468.0982537708628,1546.336959882856,3,2,3,8
2019-09-15,Premier League,2019-20,Home,1,1,3,2,0,0,1484.0677377004042,1513.2980820465782,3,1,6,5
2019-09-15,Premier League,2019-20,Home,0,2,3,2,0,0,1455.0073170873977,1515.0982197319345,2,2,7,4
2019-09-16,Premier League,2019-20,Home,0,0,3,1,0,1,1471.5368174271885,1515.8987837545358,0,0,5,1
2019-09-20,Premier League,2019-20,Home,0,2,3,2,0,0,1504.5283614769528,1501.410677790779,1,3,6,3
2019-09-21,Premier League,2019-20,Home,0,1,4,2,0,0,1513.7070310747838,1515.4716390523847,2,1,7,4
2019-09-21,Premier League,2019-20,Home,2,0,2,1,0,0,1485.9781266528673,1487.6415865601946,2,0,6,2
2019-09-21,Premier League,2019-20,Home,0,1,2,1,0,0,1495.9551419562035,1482.810252777667,0,2,3,1
2019-09-21,Premier League,2019-20,Home,5,0,5,2,0,0,1526.7936270935243,1457.7473384389632,8,0,11,4
2019-09-21,Premier League,2019-20,Home,0,0,2,1,0,0,1472.130608739169,1482.2834499511198,0,0,4,3
2019-09-22,Premier League,2019-20,Home,0,0,2,2,0,1,1499.931254220332,1469.311081614169,1,1,4,4
2019-09-22,Premier League,2019-20,Home,1,0,3,2,0,0,1513.8668699597752,1514.910534276303,2,0,6,3
2019-09-22,Premier League,2019-20,Home,0,1,3,5,1,0,1512.358198380369,1473.568731221949,3,2,6,9
2019-09-22,Premier League,2019-20,Home,0,2,1,2,0,0,1516.564031363773,1573.0314573987207,1,2,2,3
2019-09-28,Premier League,2019-20,Home,0,0,1,2,0,0,1499.4153086275053,1586.453693503635,0,1,2,4
2019-09-28,Premier League,2019-20,Home,1,0,1,2,0,0,1459.3476670805362,1502.0547312272345,2,2,3,3
2019-09-28,Premier League,2019-20,Home,1,1,3,3,0,0,1517.5542485768647,1529.9149323331587,2,2,5,6
2019-09-28,Premier League,2019-20,Home,0,0,5,1,0,0,1503.1417952588588,1481.8160273770654,2,0,10,1
2019-09-28,Premier League,2019-20,Home,1,0,2,2,0,0,1498.5247827430935,1471.5649819858274,2,0,3,3
2019-09-28,Premier League,2019-20,Home,2,1,2,4,1,0,1499.3903765506413,1488.384790690867,2,1,4,6
2019-09-28,Premier League,2019-20,Home,1,0,1,3,0,0,1470.7175530914076,1444.8858286480652,2,0,2,5
2019-09-28,Premier League,2019-20,Home,1,1,4,4,0,0,1479.3500861063653,1539.6551368844223,1,3,8,9
2019-09-29,Premier League,2019-20,Home,1,0,3,0,0,1,1529.7882935765272,1472.5980313132234,5,0,5,0
2019-09-30,Premier League,2019-20,Home,1,0,2,2,0,0,1498.8624719029194,1526.5792625217819,1,1,4,5
2019-10-05,Premier League,2019-20,Home,2,0,4,1,0,0,1466.7968837773458,1514.8837200416326,3,0,6,3
2019-10-05,Premier League,2019-20,Home,0,0,2,1,0,1,1500.0978442066487,1466.099679112669,1,0,3,2
2019-10-05,Premier League,2019-20,Home,1,0,4,1,0,0,1598.5272259604735,1543.1781167902755,2,1,8,1
2019-10-05,Premier League,2019-20,Home,0,2,2,7,0,0,1456.8040408067704,1461.304554101122,1,5,5,12
2019-10-05,Premier League,2019-20,Home,0,0,1,2,0,0,1430.073236379435,1487.3417761706667,0,0,2,3
2019-10-05,Premier League,2019-20,Home,0,0,2,2,0,0,1529.3459418499635,1513.2857239221505,1,2,4,4
2019-10-06,Premier League,2019-20,Home,1,0,1,1,0,0,1525.3055579941326,1518.1232390600599,1,0,2,2
2019-10-06,Premier League,2019-20,Home,0,0,1,1,0,0,1552.9055438781186,1485.5301453600377,0,2,2,2
2019-10-06,Premier League,2019-20,Home,1,3,1,4,0,0,1472.8914471998758,1518.1609388585784,1,4,3,7
2019-10-06,Premier League,2019-20,Home,0,0,1,2,0,0,1459.208208099475,1500.1361764305686,1,0,2,3
2019-10-19,Premier League,2019-20,Home,1,0,5,2,0,0,1451.6603741636782,1512.6068678133358,2,0,10,4
2019-10-19,Premier League,2019-20,Home,1,1,4,2,0,1,1477.0973093959924,1484.9973317740662,2,1,8,5
2019-10-19,Premier League,2019-20,Home,0,0,1,1,0,0,1502.4539499621665,1441.0112855119,0,0,2,1
2019-10-19,Premier League,2019-20,Home,0,0,4,0,0,0,1532.0879197302063,1477.0843404260906,1,0,8,0
2019-10-19,Premier League,2019-20,Home,1,1,2,2,0,0,1529.7056912072544,1514.5371491556396,2,1,3,4
2019-10-19,Premier League,2019-20,Home,0,1,1,1,0,0,1496.6832720449122,1432.6869219138086,1,1,2,2
2019-10-19,Premier League,2019-20,Home,0,0,1,2,0,0,1504.5945796499968,1458.964466328248,1,1,1,5
2019-10-19,Premier League,2019-20,Home,0,2,1,4,0,0,1530.0247979587782,1533.8411095881595,0,2,2,10
2019-10-20,Premier League,2019-20,Home,1,0,1,2,0,0,1482.260044103953,1611.9996515434946,1,1,2,4
2019-10-21,Premier League,2019-20,Home,1,0,1,2,0,0,1484.728090636293,1540.974847092026,1,0,2,3
2019-10-25,Premier League,2019-20,Home,0,5,1,8,1,0,1461.0538117148687,1545.0075975134182,0,9,3,15
2019-10-26,Premier League,2019-20,Home,0,0,5,2,1,0,1549.6653690106332,1493.4610561851714,3,0,9,5
2019-10-26,Premier League,2019-20,Home,1,1,2,3,0,0,1468.6335849848872,1470.4386252112863,3,2,4,6
2019-10-26,Premier League,2019-20,Home,0,0,2,3,0,0,1435.6011784897262,1499.6535438513588,0,0,3,5
2019-10-26,Premier League,2019-20,Home,1,0,2,2,0,0,1493.8286167657277,1503.2959550855578,1,1,4,4
2019-10-26,Premier League,2019-20,Home,0,2,2,4,0,0,1499.2352428494758,1545.5758628850222,2,4,5,7
2019-10-27,Premier League,2019-20,Home,1,0,1,3,1,0,1463.5963972712748,1502.505234263376,1,1,2,5
2019-10-27,Premier League,2019-20,Home,2,1,3,2,0,0,1522.4069826427612,1514.2005385363045,2,2,6,4
2019-10-27,Premier League,2019-20,Home,0,1,6,2,0,0,1606.287970693454,1493.7690154689947,2,1,13,4
2019-10-27,Premier League,2019-20,Home,0,2,1,5,0,0,1443.8116916227077,1487.9717249539935,1,3,3,11
2019-11-02,Premier League,2019-20,Home,1,0,3,2,0,0,1496.7367933310445,1501.9489612150821,1,0,6,4
2019-11-02,Premier League,2019-20,Home,1,0,2,4,0,0,1522.0291321912375,1500.720869383315,1,1,4,8
2019-11-02,Premier League,2019-20,Home,1,0,1,3,0,0,1480.0270163414084,1617.28014684009,1,2,2,6
2019-11-02,Premier League,2019-20,Home,0,0,3,0,0,0,1484.7167094113586,1429.8344553616191,2,0,5,0
2019-11-02,Premier League,2019-20,Home,0,1,2,1,0,0,1563.0994088543962,1448.8464950267805,2,1,4,3
